archivo_original,mejor_match_nombre_completo,score,archivo_salida,accion,nota,destino_original
juanpablo_calderon_yrigoyen.webp,Juan Pablo Calderón Yrigoyen,100,juanpablo_calderón_yrigoyen.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\juanpablo_calderon_yrigoyen.webp
julio-lopez-cuellar.webp,Julio López Cuéllar,100,julio_lópez_cuéllar.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\julio-lopez-cuellar.webp
julio_lopez_cuellar.webp,Julio López Cuéllar,100,julio_lópez_cuéllar-1.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\julio_lopez_cuellar.webp
ledtoaky_luna_chaparro.webp,Led  Toaky  Luna Chaparro,100,ledtoaky_luna_chaparro.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\ledtoaky_luna_chaparro.webp
luisalberto_camacho_franco.webp,Luis Alberto Camacho Franco,100,luisalberto_camacho_franco.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\luisalberto_camacho_franco.webp
luisenrique_payro_hernandez.webp,Luis Enrique Payro Hernández,100,luisenrique_payro_hernández.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\luisenrique_payro_hernandez.webp
maniel_dufoo_villegas.webp,Manuel Dufoo Villegas,94,manuel_dufoo_villegas.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_parcial\maniel_dufoo_villegas.webp
marcoantonio_marban_heredia.webp,Marco Antonio Marbán Heredia,100,marcoantonio_marbán_heredia.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\marcoantonio_marban_heredia.webp
mariaeugenia_salinas_nieves.webp,María Eugenia Salinas Nieves,100,maríaeugenia_salinas_nieves.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\mariaeugenia_salinas_nieves.webp
marialisandra_ramos_macias.webp,María Lisandra Ramos Macías,100,maríalisandra_ramos_macías.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\marialisandra_ramos_macias.webp
mariateresa_flores_molina.webp,María Teresa Flores Molina,100,maríateresa_flores_molina.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\mariateresa_flores_molina.webp
marioalberto_garcia_esquivel.webp,Mario Alberto García Esquivel,100,marioalberto_garcía_esquivel.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\marioalberto_garcia_esquivel.webp
marioivan_de_lacruz_lara.webp,Mario Iván De La Cruz Lara,100,marioiván_de la cruz_lara.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\marioivan_de_lacruz_lara.webp
marthaveronica_nieto_aguilar.webp,Martha Verónica Nieto Aguilar,100,marthaverónica_nieto_aguilar.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\marthaveronica_nieto_aguilar.webp
natalia-pereza-ceceña.webp,Natalia Peraza Ceceña,94,natalia_peraza_ceceña.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_parcial\natalia-pereza-ceceña.webp
natalia_peraza_ceceña.webp,Natalia Peraza Ceceña,100,natalia_peraza_ceceña-1.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\natalia_peraza_ceceña.webp
nicolaseduardo_guzman_bouilloud.webp,Nicolás Eduardo Guzmán Bouilloud,100,nicoláseduardo_guzmán_bouilloud.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\nicolaseduardo_guzman_bouilloud.webp
nisalle_ramirez.webp,Nishalle Ramírez Muñiz,82,nishalle_ramírez_muñiz.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_parcial\nisalle_ramirez.webp
omardavid_cruz_gonzalez.webp,Omar David Cruz González,100,omardavid_cruz_gonzález.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\omardavid_cruz_gonzalez.webp
oscarreynaldo_alfaro_bonilla.webp,,50,,movido,sin coincidencia,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\sin_coincidencia\oscarreynaldo_alfaro_bonilla.webp
pabloalberto_gutierrez_vega.webp,Pablo Alberto Gutiérrez Vega,100,pabloalberto_gutiérrez_vega.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\pabloalberto_gutierrez_vega.webp
pablojose_ariza_villaro.webp,Pablo José Ariza Villaró,100,pablojosé_ariza_villaró.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\pablojose_ariza_villaro.webp
pedroisrael_olivares_garcia.webp,Pedro Israel Olivares Garcia,100,pedroisrael_olivares_garcia.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\pedroisrael_olivares_garcia.webp
rafaelenrique_jordan_balladares.webp,Rafael Enrique Jordán Balladares,100,rafaelenrique_jordán_balladares.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\rafaelenrique_jordan_balladares.webp
rafaeljesus_manzanilla_lopez.webp,Rafael Jesús Manzanilla López,100,rafaeljesús_manzanilla_lópez.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\rafaeljesus_manzanilla_lopez.webp
ramon_madriz_prado.webp,Ramón Madriz Prado,100,ramón_madriz_prado.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\ramon_madriz_prado.webp
ricardoalberto_reyes_zoloeta.webp,,57,,movido,sin coincidencia,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\sin_coincidencia\ricardoalberto_reyes_zoloeta.webp
rigoberto_roman_hernandez.webp,Rigoberto Román Hernández,100,rigoberto_román_hernández.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\rigoberto_roman_hernandez.webp
robertoantonio_garcianavarrete_salinas.webp,Roberto Antonio García Navarrete Salinas,100,robertoantonio_garcía navarrete_salinas.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\robertoantonio_garcianavarrete_salinas.webp
rodrigo_silva_martínez.webp,Rodrigo Silva Martínez,100,rodrigo_silva_martínez.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\rodrigo_silva_martínez.webp
romeo_tecualt_gomez.webp,Romeo Tecualt Gómez,100,romeo_tecualt_gómez.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\romeo_tecualt_gomez.webp
sandragabriela_rule_gomez.webp,Sandra Gabriela Rule Gómez,100,sandragabriela_rule_gómez.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\sandragabriela_rule_gomez.webp
saraidelcarmen_toral_freyre.webp,Sarai Del Carmen Toral Freyre,100,saraidelcarmen_toral_freyre.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\saraidelcarmen_toral_freyre.webp
saraolivia_ramos_romero.webp,Sara Olivia Ramos Romero,100,saraolivia_ramos_romero.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\saraolivia_ramos_romero.webp
vaniavanessa_cabal_ruiz.webp,Vania Vanessa Cabal Ruiz,100,vaniavanessa_cabal_ruiz.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\vaniavanessa_cabal_ruiz.webp
victormanuel_luna_ayala.webp,Víctor Manuel Luna Ayala,100,víctormanuel_luna_ayala.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\victormanuel_luna_ayala.webp
yessica_torres_giron.webp,Yessica Torres Girón,100,yessica_torres_girón.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\yessica_torres_giron.webp
